Listing Name,Price,Room Type,Reviews,Location
HUGE room/ Williamsburg Waterfront!,141,Private room,57 reviews,"Williamsburg, Brooklyn"
Amazing Apt! Private Rooftop Space!,291,Entire home/apt,46 reviews,"Williamsburg, Brooklyn"
Beautiful Cozy One Bedroom in Dumbo,194,Entire home/apt,3 reviews,"DUMBO, Brooklyn"
Private Room in Williamsburg NYC,97,Private room,14 reviews,"Williamsburg, Brooklyn"
"Colorful, quiet, & near the subway!",116,Private room,53 reviews,"Boerum Hill, Brooklyn"
2 rooms; private entrance & bath!,84,Private room,53 reviews,"Bushwick, Brooklyn"
Lovely Bedrooms in Artist's Home,121,Private room,56 reviews,"Clinton Hill, Brooklyn"
Cozy Bedroom in Cute BK Apartment!,84,Private room,16 reviews,"Bedford-Stuyvesant, Brooklyn"
"Delightful,Private,Brooklyn studio",116,Private room,114 reviews,"Bedford-Stuyvesant, Brooklyn"
Bright & Happy Room on L Train,63,Private room,10 reviews,"Bushwick, Brooklyn"
January SALE! Brooklyn Art Chic,97,Private room,2 reviews,"Boerum Hill, Brooklyn"
3br in Neo-French Reniassance Home,225,Entire home/apt,18 reviews,"Lefferts Garden, Brooklyn"
"Great location, cozy, near F, G, R!",181,Entire home/apt,6 reviews,"Park Slope, Brooklyn"
Historic House in Williamsburg,128,Private room,72 reviews,"Williamsburg, Brooklyn"
"Single room, City in 15! Great spot",65,Private room,11 reviews,"Bedford-Stuyvesant, Brooklyn"
Unique SHARED Rm 4 Single & Groups|,50,Shared room,6 reviews,"Williamsburg, Brooklyn"
Stunning! Williamsburg Dream Room.,142,Private room,54 reviews,"Williamsburg, Brooklyn"
Mayor's Mansion - Fort Greene,323,Entire home/apt,12 reviews,"Fort Greene, Brooklyn"
"Single room, City in 15! Great spot",65,Private room,11 reviews,"Bedford-Stuyvesant, Brooklyn"
Rare Historic Gem in Williamsburg,115,Private room,67 reviews,"Williamsburg, Brooklyn"
Modern Brooklyn Loft,187,Entire home/apt,10 reviews,"Williamsburg, Brooklyn"
Magic in Cobble Hill!,90,Private room,44 reviews,"Brooklyn Heights, Brooklyn"
Designer loft in hip Williamsburg,220,Entire home/apt,16 reviews,"Williamsburg, Brooklyn"
Room in beautiful Williamsburg apt,123,Private room,8 reviews,"Williamsburg, Brooklyn"
Quiet apartment in lovely area,129,Entire home/apt,45 reviews,"Boerum Hill, Brooklyn"
In the heart of brownstone Brooklyn,110,Private room,4 reviews,"Clinton Hill, Brooklyn"
Cozy Park Slope Apartment w/ View,154,Entire home/apt,6 reviews,"Park Slope, Brooklyn"
Option of 2 Full Beds + Roof Deck,75,Private room,78 reviews,"Bushwick, Brooklyn"
"Sunny, Large, Park Slope Bedroom",136,Private room,79 reviews,"Park Slope, Brooklyn"
Option of 2 Beds + Private Bathroom,75,Private room,37 reviews,"Bushwick, Brooklyn"
Cozy Nook in Heart of Williamsburg,76,Private room,59 reviews,"Williamsburg, Brooklyn"
Brooklyn Prospect Park Cozy Single,116,Private room,95 reviews,"Prospect Heights, Brooklyn"
Fort Greene Magic on Elliott Place,102,Private room,54 reviews,"Fort Greene, New York"
Cozy Room With private 1/2 bath,78,Private room,101 reviews,"Park Slope, Brooklyn"
Designer 1 Bedroom in Williamsburg,161,Entire home/apt,17 reviews,"Williamsburg, Brooklyn"
Beautiful 1BR heart of Williamsburg,155,Entire home/apt,11 reviews,"Williamsburg, Brooklyn"
Williamsburg Penthouse Guestroom,97,Private room,8 reviews,"Williamsburg, Brooklyn"
Park Slope-Private Room/Bath/Entry,187,Private room,92 reviews,"Park Slope, Brooklyn"
Minutes To Manhattan!!,155,Entire home/apt,7 reviews,"Bushwick, Brooklyn"
Modern Waterfront 2Bed Williamsburg,323,Entire home/apt,12 reviews,"Williamsburg, Brooklyn"
carriage house apartment,194,Entire home/apt,81 reviews,"Clinton Hill, Brooklyn"
Charming 1br Apt In Williamsburg!!!,161,Entire home/apt,23 reviews,"Williamsburg, Brooklyn"
Brooklyn NY Studio，Private Bathroom,78,Private room,2 reviews,"Bay Ridge, Brooklyn"
3BR/2BA Duplex - 1m to subway!,239,Entire home/apt,8 reviews,"Bedford-Stuyvesant, Brooklyn"
FAB BKLYN ROOM&BATH&OWN ENTRANCE,142,Private room,50 reviews,"Fort Greene, Brooklyn"
Spacious private room in loft,129,Private room,23 reviews,"Greenpoint, Brooklyn"
The Institute—Heart of Williamsburg,323,Entire home/apt,104 reviews,"Williamsburg, Brooklyn"
Williamsburg Luxury-Steps To Subway,116,Private room,162 reviews,"Williamsburg, Brooklyn"
Bedroom in Designer Brooklyn Loft,110,Private room,6 reviews,"Bushwick, Brooklyn"
"Williamsburg SkyBox, Manhattan View",115,Private room,91 reviews,"Williamsburg, Brooklyn"
"Sunny Private Bedroom, Brooklyn NYC",90,Private room,3 reviews,"Bushwick, Brooklyn"
Charming studio apartment!,155,Entire home/apt,36 reviews,"Fort Greene, Brooklyn"
Prospect Park. Bikes. Garden.Trendy,84,Private room,11 reviews,"Flatbush, Brooklyn"
Private Studio in Greenpoint,168,Entire home/apt,5 reviews,"Greenpoint, Brooklyn"
Private Studio in Greenpoint,168,Entire home/apt,5 reviews,"Greenpoint, Brooklyn"
Spacious Private Bedroom & Living,128,Private room,167 reviews,"Park Slope, Brooklyn"
The Real Cool Large Private Deal,252,Entire home/apt,87 reviews,"Williamsburg, Brooklyn"
Best Location in Prospect Heights!,142,Entire home/apt,16 reviews,"Prospect Heights, Brooklyn"
Private Flat Greenpoint Brooklyn,174,Entire home/apt,29 reviews,"Greenpoint, Brooklyn"
Sun filled 2BR in BedStuy Townhouse,142,Entire home/apt,39 reviews,"Bedford-Stuyvesant, Brooklyn"
Private Room in Williamsburg Loft L,128,Private room,8 reviews,"Williamsburg, Brooklyn"
SUNNY BIG ROOM IN STYLISH APT,103,Private room,15 reviews,"Bedford-Stuyvesant, New York"
"Cozy, spacious & convenient 1 BR :)",97,Private room,24 reviews,"Bushwick, Brooklyn"
Cozy Artistic Apartment in Brooklyn,161,Entire home/apt,38 reviews,"Fort Greene, Brooklyn"
Home away from Home in Bed-Stuy!,52,Private room,2 reviews,"Bedford-Stuyvesant, Brooklyn"
East Williamsburg/Bed Stuy Sublet,45,Private room,4 reviews,"Bedford-Stuyvesant, Brooklyn"
Oversized Bright FullyFurnished 1BR,78,Entire home/apt,16 reviews,"Bay Ridge, Brooklyn"
Rare Historic Gem in Williamsburg,115,Private room,67 reviews,"Williamsburg, Brooklyn"
IDEALLY LOCATED - WHOLE APARTMENT,155,Entire home/apt,44 reviews,"Boerum Hill, Brooklyn"
Pretty and Private in Clinton Hill,129,Private room,5 reviews,"Clinton Hill, Brooklyn"
Lovely Room in Williamsburg Loft,136,Private room,18 reviews,"Williamsburg, Brooklyn"
Sunny Private Room in Brooklyn,78,Private room,15 reviews,"Crown Heights, Brooklyn"
Sunny private room featured in film,121,Private room,90 reviews,"Flatbush, Brooklyn"
Big Airy Room in Brooklyn,58,Private room,2 reviews,"Bedford-Stuyvesant, Brooklyn"
PRIVATE SUITE in Williamsburg BK,103,Private room,3 reviews,"Williamsburg, Brooklyn"
Homey Townhouse + PRIVATE Bathroom,155,Private room,101 reviews,"Boerum Hill, Brooklyn"
Cozy Private Room in Williamsburg,71,Private room,17 reviews,"Williamsburg, Brooklyn"
Master Bed Bushwick Vacation NYC,88,Private room,32 reviews,"Bushwick, Brooklyn"
Park Slope Green Guest House,174,Entire home/apt,220 reviews,"Park Slope, Brooklyn"
"Charming, Airy 2 Bedroom Brownstone",142,Entire home/apt,15 reviews,"Bedford-Stuyvesant, Brooklyn"
